                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2328,                 1.1316,                 1.4484,                 1.3863,                 1.2676,                 1.5043,                0.60065,                0.48897,                0.50977,                0.25563,                 1.7676,                 1.5979,                 1.9333,                 1.8495,                 1.7959,                 1.8919,               0.008548,               0.008548,               0.008548
                     25,                 1.1462,                 1.0542,                 1.3888,                 1.2768,                 1.1943,                 1.4488,                 0.5007,                0.55144,                0.46445,                0.23127,                 1.7346,                 2.0786,                 1.8759,                 1.7855,                 2.3268,                 1.8953,               0.008482,               0.008482,               0.008482
                     26,                 1.2118,                 1.1385,                 1.4353,                 1.3674,                 1.2724,                 1.4991,                0.43291,                 0.4856,                0.41841,                0.17198,                 1.9615,                 2.0789,                 2.0595,                 2.0499,                 2.3955,                 2.0463,               0.008416,               0.008416,               0.008416
                     27,                 1.1951,                 1.1241,                 1.4363,                  1.355,                 1.2755,                 1.5043,                0.59727,                0.48215,                0.45954,                0.22834,                 1.7544,                 2.0504,                 1.9003,                 1.6854,                 2.3535,                 1.8354,                0.00835,                0.00835,                0.00835
                     28,                 1.1774,                 1.0325,                 1.4032,                 1.3162,                 1.1826,                 1.4639,                0.60584,                0.50617,                0.50824,                0.28124,                 1.6746,                 1.6264,                 1.7544,                  1.788,                 1.9379,                 1.8506,               0.008284,               0.008284,               0.008284
                     29,                 1.1507,                  1.009,                 1.3729,                 1.3013,                  1.137,                 1.4382,                0.51362,                0.51279,                0.46379,                 0.2343,                 1.6703,                 1.7412,                  1.749,                 1.7616,                 2.3473,                 1.8087,               0.008218,               0.008218,               0.008218
                     30,                  1.107,                 0.9741,                 1.3711,                 1.2315,                 1.1043,                 1.4201,                0.51029,                0.46914,                0.44193,                 0.2321,                 1.5809,                 1.7014,                  1.784,                  1.802,                 1.9872,                 1.8739,               0.008152,               0.008152,               0.008152
                     31,                 1.1102,                0.96343,                 1.3601,                 1.2357,                  1.052,                  1.407,                0.65903,                0.51852,                0.56794,                0.29462,                 1.6199,                 1.4914,                 1.7458,                 1.7718,                 1.6988,                 1.8051,               0.008086,               0.008086,               0.008086
                     32,                 1.0885,                0.96219,                 1.3319,                 1.2544,                 1.0678,                 1.4084,                0.62843,                0.53909,                0.53852,                0.29749,                 1.5499,                  1.618,                 1.6669,                 1.7149,                 1.8249,                 1.7631,                0.00802,                0.00802,                0.00802
                     33,                 1.0717,                 0.8812,                 1.3401,                 1.2138,                0.96209,                 1.4063,                0.63233,                0.51852,                0.54087,                0.28171,                 1.7278,                 1.5423,                 1.8668,                 1.9044,                 1.6916,                 1.8643,               0.007954,               0.007954,               0.007954
                     34,                 1.1162,                0.94898,                 1.3589,                  1.286,                 1.0213,                 1.4447,                0.65108,                0.58025,                  0.559,                0.29376,                 1.6691,                 1.4537,                 1.8043,                  1.767,                 1.6304,                  1.831,               0.007888,               0.007888,               0.007888
                     35,                 1.0375,                0.85697,                 1.3031,                 1.2115,                0.93396,                  1.377,                0.64954,                0.58025,                0.59005,                 0.3121,                 1.6305,                 1.4021,                 1.8331,                 1.7273,                 1.6737,                 1.8307,               0.007822,               0.007822,               0.007822
                     36,                 1.0806,                0.86197,                 1.3296,                 1.2424,                0.93504,                 1.3868,                0.64529,                0.58025,                0.60929,                0.33977,                 1.6755,                 1.3896,                  1.816,                 1.7445,                 1.5684,                 1.8304,               0.007756,               0.007756,               0.007756
                     37,                 1.0446,                0.86572,                 1.3139,                 1.1791,                0.95466,                 1.3637,                0.70576,                0.54321,                0.55445,                 0.2713,                 1.7851,                 1.4302,                 1.8919,                 1.7985,                 1.6087,                 1.8575,                0.00769,                0.00769,                0.00769
                     38,                 1.0708,                0.89028,                 1.3115,                 1.2305,                0.97993,                 1.3655,                0.74099,                0.49447,                0.56938,                0.27747,                 1.6321,                   1.39,                 1.7511,                 1.7419,                 1.6842,                 1.8142,               0.007624,               0.007624,               0.007624
                     39,                 1.0818,                0.88189,                 1.3174,                 1.2094,                0.97804,                 1.3726,                0.72861,                0.49794,                0.54838,                 0.2755,                 1.6167,                 1.4802,                 1.6879,                 1.6137,                 1.6958,                 1.7154,               0.007558,               0.007558,               0.007558
