                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.68149,                0.52762,                 1.0849,                0.78904,                0.56508,                 1.1252,                0.72375,                0.57613,                0.61377,                0.32987,                 1.6284,                 1.5951,                 1.8216,                 1.6946,                 1.9895,                  1.774,               0.003466,               0.003466,               0.003466
                    102,                0.62259,                0.47162,                 1.0442,                0.71952,                0.48343,                   1.08,                0.72029,                0.57613,                0.60559,                0.33367,                 1.6027,                 1.5876,                 1.7989,                 1.6616,                 1.8133,                 1.7643,                 0.0034,                 0.0034,                 0.0034
                    103,                0.64823,                0.46921,                 1.0533,                0.74938,                0.48065,                 1.0824,                0.79534,                0.57202,                0.62039,                0.33857,                 1.6676,                 1.4484,                 1.8297,                 1.7379,                  1.716,                 1.8096,               0.003334,               0.003334,               0.003334
                    104,                0.61382,                 0.4557,                 1.0281,                0.71369,                0.45288,                  1.063,                0.79913,                 0.5679,                0.62593,                0.34729,                 1.6011,                 1.3303,                 1.7779,                 1.6816,                 1.6444,                 1.7746,               0.003268,               0.003268,               0.003268
                    105,                0.60907,                0.47851,                 1.0312,                0.72211,                0.51159,                  1.068,                0.70027,                0.59259,                0.60819,                0.33473,                 1.5682,                 1.4251,                 1.7753,                 1.6598,                 1.7289,                 1.7438,               0.003202,               0.003202,               0.003202
                    106,                0.64144,                 0.4824,                 1.0558,                0.75665,                0.50797,                 1.0964,                0.72059,                0.59434,                0.60918,                0.35016,                 1.5242,                 1.5025,                 1.7585,                 1.6363,                 1.8469,                 1.7533,               0.003136,               0.003136,               0.003136
                    107,                0.63164,                0.49148,                 1.0665,                0.73246,                0.50771,                 1.1059,                0.74036,                 0.5679,                0.59683,                0.34867,                 1.5032,                 1.4889,                 1.7954,                  1.564,                 1.9024,                 1.7497,                0.00307,                0.00307,                0.00307
                    108,                0.62717,                0.47774,                 1.0521,                0.72401,                 0.4982,                  1.087,                0.76989,                0.55073,                0.58136,                0.33769,                 1.5068,                 1.4849,                 1.7428,                 1.6896,                 1.8967,                 1.7911,               0.003004,               0.003004,               0.003004
                    109,                0.58581,                0.45623,                 1.0213,                0.68421,                 0.4546,                 1.0538,                0.73045,                0.55556,                0.57895,                0.33691,                 1.4987,                 1.5112,                 1.7467,                 1.6316,                 2.0284,                 1.7495,               0.002938,               0.002938,               0.002938
                    110,                0.63484,                0.46756,                 1.0689,                0.74024,                0.47316,                 1.1018,                0.70803,                0.58025,                0.57301,                0.33041,                 1.4992,                 1.5358,                 1.7304,                 1.6317,                 1.9856,                 1.7421,               0.002872,               0.002872,               0.002872
                    111,                0.62717,                0.46377,                 1.0323,                0.71337,                0.46174,                 1.0636,                0.71164,                0.60494,                0.59046,                0.32953,                 1.5916,                 1.4396,                 1.8261,                 1.6438,                 1.8915,                 1.8174,               0.002806,               0.002806,               0.002806
                    112,                 0.5987,                 0.4535,                 1.0254,                0.67718,                0.46111,                 1.0529,                0.75839,                0.61728,                0.62544,                0.35449,                 1.5758,                 1.3449,                 1.7672,                 1.7087,                 1.6207,                 1.7921,                0.00274,                0.00274,                0.00274
                    113,                 0.5771,                0.44714,                 1.0304,                 0.6777,                 0.4643,                 1.0658,                 0.7037,                0.63786,                0.63345,                 0.3582,                 1.5124,                 1.4729,                 1.7357,                  1.634,                 1.8445,                  1.745,               0.002674,               0.002674,               0.002674
                    114,                 0.5805,                0.43612,                 1.0382,                0.68438,                0.46119,                 1.0648,                0.72654,                0.62551,                0.63992,                0.35082,                 1.5541,                 1.3994,                 1.7852,                 1.6606,                 1.7186,                 1.7814,               0.002608,               0.002608,               0.002608
                    115,                0.59324,                0.44504,                 1.0336,                0.67757,                0.44293,                 1.0593,                0.76372,                0.60082,                0.63849,                0.35294,                 1.5663,                 1.2954,                 1.7969,                 1.6205,                 1.5783,                  1.778,               0.002542,               0.002542,               0.002542
                    116,                0.58474,                 0.4429,                 1.0166,                0.70472,                0.44339,                 1.0514,                 0.8096,                 0.5679,                0.62265,                0.34546,                 1.5857,                  1.295,                 1.8256,                 1.6032,                 1.6871,                 1.7782,               0.002476,               0.002476,               0.002476
                    117,                0.56213,                0.44393,                  1.017,                0.67412,                0.43925,                  1.054,                0.80753,                 0.5679,                0.61022,                0.34703,                 1.5979,                 1.3594,                 1.8031,                 1.6275,                 1.6765,                 1.7909,                0.00241,                0.00241,                0.00241
                    118,                 0.5558,                0.42586,                 1.0052,                0.64329,                0.41623,                 1.0307,                0.76156,                0.58848,                0.60613,                0.34254,                 1.5305,                 1.4986,                 1.7737,                 1.5961,                 1.9809,                 1.7613,               0.002344,               0.002344,               0.002344
                    119,                0.55722,                0.42617,                  1.022,                0.65438,                0.44218,                 1.0638,                0.75368,                0.61698,                0.62525,                0.34947,                 1.4907,                 1.3027,                 1.7217,                 1.6005,                 1.6765,                 1.7389,               0.002278,               0.002278,               0.002278
                    120,                0.54553,                0.39792,                  1.006,                0.62213,                0.38392,                 1.0314,                 0.8189,                0.63267,                0.64109,                0.36234,                 1.4713,                 1.2442,                 1.7014,                 1.5818,                 1.6005,                 1.7092,               0.002212,               0.002212,               0.002212
                    121,                0.56319,                0.39883,                 1.0132,                0.66009,                0.40562,                 1.0466,                0.81188,                0.62551,                0.63305,                0.35506,                  1.516,                  1.349,                 1.7366,                  1.609,                  1.616,                 1.7403,               0.002146,               0.002146,               0.002146
                    122,                0.56423,                0.41149,                 1.0061,                0.66566,                 0.4117,                 1.0416,                0.81469,                0.56379,                0.62487,                0.35458,                 1.5368,                 1.3636,                 1.7581,                 1.6254,                 1.6415,                 1.7778,                0.00208,                0.00208,                0.00208
                    123,                 0.5601,                0.41439,                 1.0021,                0.65317,                0.41886,                 1.0381,                0.77133,                0.59259,                0.62146,                0.35096,                 1.4881,                 1.3308,                  1.717,                  1.582,                 1.5713,                 1.7079,               0.002014,               0.002014,               0.002014
                    124,                0.52387,                  0.391,                 1.0108,                0.61289,                0.40165,                 1.0475,                0.76626,                0.62551,                0.63296,                0.36737,                 1.4754,                 1.3243,                 1.7112,                 1.5578,                 1.5626,                 1.7028,               0.001948,               0.001948,               0.001948
                    125,                0.54166,                0.40882,                 1.0028,                0.65003,                0.43048,                 1.0409,                0.74636,                0.58848,                0.62024,                0.36471,                 1.5094,                 1.3333,                 1.7342,                 1.6148,                 1.6377,                 1.7571,               0.001882,               0.001882,               0.001882
                    126,                0.53725,                0.40891,                 1.0056,                 0.6112,                0.41294,                 1.0293,                0.81835,                0.57613,                0.65065,                0.37287,                 1.5123,                 1.3244,                 1.7299,                 1.6064,                 1.5841,                 1.7336,               0.001816,               0.001816,               0.001816
                    127,                 0.5339,                0.41525,                 1.0134,                0.62765,                 0.4135,                  1.047,                0.80479,                0.61076,                0.65171,                0.36213,                  1.554,                 1.3627,                  1.777,                 1.6648,                 1.6627,                 1.7851,                0.00175,                0.00175,                0.00175
                    128,                0.54122,                0.40431,                  1.003,                  0.628,                0.40844,                 1.0291,                0.74919,                0.61462,                0.63355,                0.35539,                 1.5644,                 1.3562,                 1.8046,                 1.6612,                 1.7589,                 1.7952,               0.001684,               0.001684,               0.001684
                    129,                0.54304,                0.40294,                 1.0051,                0.64235,                0.39977,                 1.0431,                0.78331,                0.58018,                0.63413,                0.36188,                 1.5617,                 1.3139,                 1.8067,                 1.6549,                 1.6336,                 1.8109,               0.001618,               0.001618,               0.001618
                    130,                0.48738,                0.37325,                0.97908,                0.56027,                0.36915,                 1.0023,                0.74747,                0.62123,                0.63838,                0.37332,                 1.5435,                 1.2831,                  1.794,                 1.6227,                  1.616,                  1.798,               0.001552,               0.001552,               0.001552
                    131,                0.51817,                0.39426,                  1.008,                0.60062,                 0.3965,                 1.0325,                 0.7213,                0.62838,                0.63078,                 0.3683,                 1.5663,                 1.3292,                 1.8023,                 1.6446,                 1.6277,                 1.7828,               0.001486,               0.001486,               0.001486
                    132,                0.49953,                0.37738,                  0.986,                0.58572,                0.38859,                 1.0202,                0.71529,                0.60082,                0.63577,                0.37364,                  1.536,                 1.3006,                 1.7529,                   1.63,                 1.5895,                 1.7453,                0.00142,                0.00142,                0.00142
                    133,                0.52274,                0.39413,                0.98695,                0.58924,                0.39572,                 1.0071,                0.75078,                0.60082,                0.63995,                0.37637,                  1.527,                 1.3379,                   1.75,                 1.6015,                 1.6618,                 1.7205,               0.001354,               0.001354,               0.001354
                    134,                0.50902,                0.36809,                0.98623,                0.58982,                0.35421,                 1.0135,                0.73373,                 0.6214,                0.63822,                0.37912,                 1.5077,                 1.3833,                 1.7343,                 1.6098,                  1.675,                 1.7507,               0.001288,               0.001288,               0.001288
                    135,                0.51004,                 0.3823,                0.99193,                0.58551,                0.36932,                 1.0158,                0.73305,                0.63786,                 0.6523,                0.37627,                 1.5064,                 1.3922,                  1.736,                  1.585,                 1.6761,                 1.7238,               0.001222,               0.001222,               0.001222
                    136,                0.52747,                0.39082,                 1.0085,                 0.5989,                0.40621,                 1.0357,                0.79612,                0.61317,                0.66867,                0.37527,                  1.485,                 1.4202,                 1.7141,                 1.5628,                 1.7163,                 1.7153,               0.001156,               0.001156,               0.001156
                    137,                0.48557,                0.37486,                0.98689,                0.57278,                0.36876,                 1.0164,                0.78511,                0.61644,                0.65788,                0.36662,                  1.468,                 1.4127,                 1.7131,                  1.567,                 1.6879,                 1.7249,                0.00109,                0.00109,                0.00109
                    138,                0.48825,                0.36185,                0.97802,                0.55758,                0.33537,                 1.0028,                0.79442,                0.61728,                0.66147,                0.37376,                 1.5014,                 1.4007,                 1.7466,                 1.5968,                 1.6864,                 1.7333,               0.001024,               0.001024,               0.001024
                    139,                  0.502,                  0.367,                0.98764,                0.57594,                0.35982,                 1.0184,                0.73211,                0.62963,                0.65643,                0.37948,                 1.4907,                 1.4296,                 1.7417,                 1.5664,                 1.7741,                 1.7035,               0.000958,               0.000958,               0.000958
                    140,                0.46778,                0.34437,                 0.9647,                0.54033,                0.35372,                0.99662,                0.82281,                 0.5924,                0.63544,                0.36597,                 1.5116,                 1.4651,                 1.7565,                 1.5802,                 1.8218,                 1.7158,               0.000892,               0.000892,               0.000892
                    141,                0.38219,                0.33834,                0.89271,                0.41394,                0.31626,                0.91232,                0.74352,                0.64198,                0.63197,                0.35242,                 1.5109,                 1.4243,                 1.7818,                  1.603,                  1.795,                 1.7584,               0.000826,               0.000826,               0.000826
                    142,                0.36586,                0.25236,                0.88211,                 0.3946,                0.19195,                0.89187,                0.74769,                0.63414,                0.61391,                0.35082,                 1.5019,                 1.3973,                 1.7824,                 1.5944,                 1.8075,                 1.7485,                0.00076,                0.00076,                0.00076
                    143,                  0.361,                0.25935,                0.88596,                0.39203,                0.20213,                0.90763,                 0.7654,                0.65844,                0.64578,                0.35647,                 1.5014,                 1.3271,                 1.7882,                 1.6014,                 1.7061,                 1.7572,               0.000694,               0.000694,               0.000694
                    144,                0.34436,                0.23937,                0.86115,                0.36806,                0.17322,                0.87207,                0.77728,                0.65021,                0.65433,                0.36454,                 1.4722,                 1.3049,                 1.7607,                 1.5967,                 1.6489,                  1.755,               0.000628,               0.000628,               0.000628
                    145,                 0.3472,                 0.2431,                0.89733,                  0.368,                0.17725,                0.90729,                0.76699,                0.69084,                0.67408,                0.37582,                 1.4562,                  1.233,                 1.7496,                 1.5665,                 1.5886,                  1.725,               0.000562,               0.000562,               0.000562
                    146,                0.33672,                0.22832,                 0.8687,                0.36505,                0.17038,                0.87948,                0.79389,                0.66574,                0.68519,                0.38145,                 1.4564,                 1.2089,                 1.7443,                 1.5531,                   1.55,                 1.7277,               0.000496,               0.000496,               0.000496
                    147,                0.33644,                0.23181,                0.87716,                0.35914,                0.18202,                0.89067,                0.78646,                 0.6972,                0.68976,                0.38823,                 1.4693,                 1.1782,                 1.7491,                 1.5737,                 1.5245,                 1.7468,                0.00043,                0.00043,                0.00043
                    148,                 0.3179,                0.24166,                0.83359,                0.32785,                0.17786,                0.83719,                0.78772,                0.67901,                 0.6802,                0.38494,                 1.4765,                 1.2029,                 1.7618,                 1.5462,                 1.5895,                 1.7322,               0.000364,               0.000364,               0.000364
                    149,                0.31273,                0.21639,                0.85989,                0.33942,                0.14432,                0.86831,                0.75766,                0.67901,                0.67881,                0.38598,                 1.4882,                 1.2201,                 1.7586,                 1.5665,                 1.5961,                 1.7271,               0.000298,               0.000298,               0.000298
                    150,                0.31663,                0.22465,                0.86004,                0.33945,                0.16205,                0.87286,                0.77477,                0.68313,                0.67389,                0.38305,                 1.4889,                 1.2277,                 1.7585,                 1.5618,                 1.6021,                 1.7277,               0.000232,               0.000232,               0.000232
